CPU_Model,Core_Count,Date,Score
AMD R9 9950X Lexar 6000,(16C/32T),[8/24],204872
AMD R9 7950X3D,(16C/32T),[7/24],197556
AMD R9 7950X,(16C/32T),[7/24],193532
Intel i9-14900K,(8P/16E/32T),[7/24],187566
Intel i9-13900K,(8P/16E/32T),[7/24],182959
Intel i7-14700K,(8P/12E/28T),[7/24],174765
AMD R9 9900X Lexar 6000,(12C/24T),[8/24],168992
AMD R9 7900X,(12C/24T),[7/24],163309
Intel i7-13700K,(8P/8E/24T),[7/24],153060
AMD R9 7900,(12C/24T),[7/24],152485
AMD R9 5950X,(16C/32T),[7/24],139916
Intel i9-12900K,(8P/8E/24T),[7/24],134638
Intel i5-14600K,(6P/8E/20T),[7/24],129940
AMD R9 3950X,(16C/32T),[7/24],129212
Intel i5-13600K,(6P/8E/20T),[7/24],128837
AMD R9 5900X,(12C/24T),[7/24],123278
AMD R7 7700X,(8C/16T),[7/24],122057
AMD R7 9700X Lexar 6000,(8C/16T),[8/24],119981
AMD R7 7700,(8C/16T),[8/24],117709
AMD R7 7800X3D,(8C/16T),[7/24],117075
AMD R5 7600X,(6C/12T),[7/24],96492
AMD R5 9600X Lexar 6000,(6C/12T),[8/24],96298
AMD R7 5800X3D,(8C/16T),[7/24],94657
AMD R7 5800X,(8C/16T),[7/24],94401
AMD R5 7600,(6C/12T),[8/24],92788
Intel i5-12600K,(6P/4E/16T),[7/24],92728
AMD R7 5700X3D,(8C/16T),[7/24],89812
AMD R7 3700X,(8C/16T),[7/24],78359
AMD R5 5600X3D,(6C/12T),[7/24],74502
AMD R5 5600X,(6C/12T),[7/24],74183
Intel i5-12400,(6P/0E/12T),[7/24],67478
Intel i9-9900K,(8C/16T),[7/24],64272
AMD R5 3600,(6C/12T),[7/24],60996
AMD R7 2700,(8C/16T),[7/24],56165
AMD R7 1700X,(8C/16T),[7/24],52577
Intel i7-8086K,(6C/12T),[7/24],51678
Intel i7-8700K,(6C/12T),[7/24],51674
Intel i7-9700K,(8C/8T),[7/24],50429
AMD R7 1700,(8C/16T),[7/24],49535
AMD R5 2600,(6C/12T),[7/24],47761
Intel i3-12100F,(4P/0E/8T),[7/24],46483
AMD R5 1600,(6C/12T),[7/24],41022
Intel i5-8600K,(6C/6T),[7/24],38300
Intel i3-9100F,(4C/4T),[7/24],22393
Intel Pentium G7400,(2P/0E/4T),[7/24],21483
AMD R3 1300X,(4C/4T),[7/24],21365
