CPU_Model,Core_Count,Date,Score
AMD R9 9950X Lexar 6000,(16C/32T),[8/24],280406
AMD R9 7950X,(16C/32T),[7/24],276072
AMD R9 7950X3D,(16C/32T),[7/24],270535
Intel i9-14900K,(8P/16E/32T),[7/24],228965
AMD R9 5950X,(16C/32T),[7/24],223096
AMD R9 9900X Lexar 6000,(12C/24T),[8/24],217528
Intel i9-13900K,(8P/16E/32T),[7/24],215186
AMD R9 7900X,(12C/24T),[7/24],210809
Intel i7-14700K,(8P/12E/28T),[7/24],201042
AMD R9 3950X,(16C/32T),[7/24],196849
AMD R9 7900,(12C/24T),[7/24],185404
AMD R9 5900X,(12C/24T),[7/24],179023
Intel i7-13700K,(8P/8E/24T),[7/24],165490
Intel i9-12900K,(8P/8E/24T),[7/24],146429
AMD R7 7700X,(8C/16T),[7/24],142392
Intel i5-14600K,(6P/8E/20T),[7/24],136914
AMD R7 9700X Lexar 6000,(8C/16T),[8/24],135611
AMD R7 7700,(8C/16T),[8/24],135497
Intel i5-13600K,(6P/8E/20T),[7/24],132911
AMD R7 7800X3D,(8C/16T),[7/24],132353
AMD R7 7800X3D DDR5-6400,(8C/16T),[7/24],132283
AMD R7 5800X,(8C/16T),[7/24],122888
AMD R7 5800X3D,(8C/16T),[7/24],114912
AMD R5 7600X,(6C/12T),[7/24],109219
AMD R7 5700X3D,(8C/16T),[7/24],108418
AMD R5 9600X Lexar 6000,(6C/12T),[8/24],107469
AMD R5 7600,(6C/12T),[8/24],103759
AMD R7 3700X,(8C/16T),[7/24],102735
Intel i5-12600K,(6P/4E/16T),[7/24],95683
AMD R5 5600X,(6C/12T),[7/24],89639
AMD R5 5600X3D,(6C/12T),[7/24],88836
AMD R5 3600,(6C/12T),[7/24],76138
AMD R7 2700,(8C/16T),[7/24],75775
AMD R7 1700X,(8C/16T),[7/24],75676
Intel i9-9900K,(8C/16T),[7/24],75145
AMD R7 1700,(8C/16T),[7/24],69549
Intel i5-12400,(6P/0E/12T),[7/24],64530
AMD R5 2600,(6C/12T),[7/24],63166
Intel i7-9700K,(8C/8T),[7/24],60029
Intel i7-8086K,(6C/12T),[7/24],58091
Intel i7-8700K,(6C/12T),[7/24],57314
AMD R5 1600,(6C/12T),[7/24],55630
Intel i3-12100F,(4P/0E/8T),[7/24],44608
Intel i5-8600K,(6C/6T),[7/24],44342
Intel i3-9100F,(4C/4T),[7/24],26810
AMD R3 1300X,(4C/4T),[7/24],25166
Intel Pentium G7400,(2P/0E/4T),[7/24],20455
