CPU_Model,Core_Count,Date,Score
AMD R9 9950X,(16C/32T),[8/24],5.9
AMD R9 7950X,(16C/32T),[7/24],6.7
AMD R9 9900X,(12C/24T),[8/24],7.7
Intel i9-14900K,(8P/16E/32T),[7/24],7.9
Intel i9-14900K,(8P/16E/32T),[7/24],7.9
Intel i9-13900K,(8P/16E/32T),[7/24],8.4
Intel i7-14700K,(8P/12E/28T),[7/24],8.9
AMD R9 7900X,(12C/24T),[7/24],9.0
Intel i7-13700K,(8P/8E/24T),[7/24],10.3
AMD R9 5950X,(16C/32T),[7/24],10.4
AMD R9 3950X,(16C/32T),[7/24],10.4
AMD R9 7900,(12C/24T),[7/24],10.6
Intel i9-12900K,(8P/8E/24T),[7/24],11.0
AMD R9 5900X,(12C/24T),[7/24],12.4
Intel i5-14600K,(6P/8E/20T),[7/24],12.6
Intel i5-13600K,(6P/8E/20T),[7/24],12.8
AMD R7 9700X,(8C/16T),[8/24],13.2
AMD R7 7700X,(8C/16T),[7/24],13.3
AMD R7 9700X,(8C/16T),[7/24],13.4
AMD R7 7800X3D,(8C/16T),[7/24],14.2
AMD R7 7700,(8C/16T),[8/24],14.3
AMD R7 7800X3D,(8C/16T),[7/24],14.4
Intel i5-12600K,(6P/4E/16T),[7/24],17.0
AMD R5 7600X,(6C/12T),[7/24],17.5
AMD R7 5800X,(8C/16T),[7/24],17.7
AMD R7 5800X3D,(8C/16T),[7/24],19.0
AMD R7 5700X3D,(8C/16T),[7/24],20.1
AMD R7 3700X,(8C/16T),[7/24],20.3
AMD R5 5600X,(6C/12T),[7/24],24.7
AMD R5 5600X3D,(6C/12T),[7/24],24.8
AMD R5 3600,(6C/12T),[7/24],26.2
AMD R7 2700,(8C/16T),[7/24],28.3
AMD R7 1700X,(8C/16T),[7/24],29.2
AMD R7 1700,(8C/16T),[7/24],31.9
AMD R5 2600,(6C/12T),[7/24],34.6
Intel i3-12100F,(4P/0E/8T),[7/24],35.8
AMD R5 1600,(6C/12T),[7/24],40.2
