CPU_Model,Core_Count,Date,Score
AMD R9 9950X,(16C/32T),[8/24],65.9
AMD R9 7950X3D,(16C/32T),[7/24],72.7
AMD R9 7950X,(16C/32T),[7/24],73.2
Intel i9-14900K,(8P/16E/32T),[7/24],74.7
Intel i9-14900K,(8P/16E/32T),[7/24],74.9
Intel i9-13900K,(8P/16E/32T),[7/24],76.7
AMD R9 9900X,(12C/24T),[8/24],80.0
Intel i7-14700K,(8P/12E/28T),[7/24],81.0
AMD R9 7900X,(12C/24T),[7/24],86.7
Intel i7-13700K,(8P/8E/24T),[7/24],91.8
AMD R9 7900,(12C/24T),[7/24],97.2
AMD R9 5950X,(16C/32T),[7/24],100.8
Intel i9-12900K,(8P/8E/24T),[7/24],104.0
AMD R9 3950X,(16C/32T),[7/24],106.4
Intel i5-14600K,(6P/8E/20T),[7/24],109.0
Intel i5-13600K,(6P/8E/20T),[7/24],112.1
AMD R7 9700X,(8C/16T),[8/24],118.6
AMD R9 5900X,(12C/24T),[7/24],119.7
AMD R7 7700X,(8C/16T),[7/24],122.7
AMD R7 9700X,(8C/16T),[7/24],123.7
AMD R7 7800X3D,(8C/16T),[7/24],126.9
AMD R7 7700,(8C/16T),[8/24],127.4
Intel i5-12600K,(6P/4E/16T),[7/24],155.1
AMD R5 7600X,(6C/12T),[7/24],158.2
AMD R7 5800X,(8C/16T),[7/24],169.3
AMD R7 5800X3D,(8C/16T),[7/24],173.9
AMD R7 3700X,(8C/16T),[7/24],179.8
AMD R7 5700X3D,(8C/16T),[7/24],182.6
AMD R5 5600X3D,(6C/12T),[7/24],222.7
AMD R5 5600X,(6C/12T),[7/24],224.9
AMD R5 3600,(6C/12T),[7/24],228.8
AMD R7 2700,(8C/16T),[7/24],264.7
AMD R7 1700X,(8C/16T),[7/24],272.9
AMD R7 1700,(8C/16T),[7/24],293.4
Intel i3-12100F,(4P/0E/8T),[7/24],310.4
AMD R5 2600,(6C/12T),[7/24],310.9
AMD R5 1600,(6C/12T),[7/24],354.2
