CPU_Model,Core_Count,Date,Score
AMD R7 7800X3D,(8C/16T),[7/24],109.0
Intel i9-14900K,(8P/16E/32T),[7/24],106.7
Intel i9-14900K,(8P/16E/32T),[7/24],105.2
Intel i9-13900K,(8P/16E/32T),[7/24],104.1
Intel i7-14700K,(8P/12E/28T),[7/24],102.8
Intel i7-13700K,(8P/8E/24T),[7/24],101.3
AMD R7 5800X3D,(8C/16T),[7/24],98.3
Intel i5-14600K,(6P/8E/20T),[7/24],96.8
AMD R7 5700X3D,(8C/16T),[7/24],94.9
Intel i9-12900K,(8P/8E/24T),[7/24],93.1
AMD R5 5600X3D,(6C/12T),[7/24],93.1
Intel i5-13600K,(6P/8E/20T),[7/24],93.1
AMD R9 9950X,(16C/32T),[8/24],92.9
AMD R9 7950X,(16C/32T),[7/24],90.1
AMD R7 9700X,(8C/16T),[8/24],89.9
AMD R9 9900X,(12C/24T),[8/24],89.9
AMD R7 7700X,(8C/16T),[7/24],88.3
AMD R9 7900X,(12C/24T),[7/24],87.5
AMD R7 7700,(8C/16T),[8/24],86.7
AMD R9 7900,(12C/24T),[7/24],86.1
AMD R5 7600X,(6C/12T),[7/24],84.7
Intel i5-12600K,(6P/4E/16T),[7/24],82.0
AMD R9 5950X,(16C/32T),[7/24],75.7
AMD R9 5900X,(12C/24T),[7/24],74.4
AMD R7 5800X,(8C/16T),[7/24],74.0
AMD R5 5600X,(6C/12T),[7/24],72.8
Intel i3-12100F,(4P/0E/8T),[7/24],65.5
AMD R9 3950X,(16C/32T),[7/24],61.0
AMD R7 3700X,(8C/16T),[7/24],61.2
AMD R5 3600,(6C/12T),[7/24],59.6
AMD R7 2700,(8C/16T),[7/24],52.2
AMD R5 2600,(6C/12T),[7/24],49.7
AMD R7 1700X,(8C/16T),[7/24],48.4
