CPU_Model,Core_Count,Date,Score
AMD R7 9700X,(8C/16T),[8/24],370.0
AMD R7 7800X3D,(8C/16T),[7/24],367.2
AMD R7 7800X3D,(8C/16T),[7/24],366.3
AMD R7 9700X,(8C/16T),[7/24],365.7
Intel i9-14900K,(8P/16E/32T),[7/24],365.1
Intel i9-14900K,(8P/16E/32T),[7/24],361.0
AMD R7 5800X3D,(8C/16T),[7/24],359.0
Intel i9-13900K,(8P/16E/32T),[7/24],357.6
Intel i7-14700K,(8P/12E/28T),[7/24],356.7
AMD R5 5600X3D,(6C/12T),[7/24],350.6
AMD R7 7700X,(8C/16T),[7/24],348.9
Intel i7-13700K,(8P/8E/24T),[7/24],348.8
AMD R9 7950X,(16C/32T),[7/24],347.5
AMD R7 5700X3D,(8C/16T),[7/24],345.5
AMD R5 7600X,(6C/12T),[7/24],340.3
Intel i5-14600K,(6P/8E/20T),[7/24],323.4
Intel i5-13600K,(6P/8E/20T),[7/24],317.5
Intel i9-12900K,(8P/8E/24T),[7/24],314.2
AMD R9 5900X,(12C/24T),[7/24],309.1
AMD R7 5800X,(8C/16T),[7/24],289.0
AMD R5 5600X,(6C/12T),[7/24],277.8
Intel i5-12600K,(6P/4E/16T),[7/24],272.4
Intel i3-12100F,(4P/0E/8T),[7/24],224.5
AMD R7 3700X,(8C/16T),[7/24],207.0
AMD R5 3600,(6C/12T),[7/24],201.5
AMD R7 2700,(8C/16T),[7/24],166.2
AMD R5 2600,(6C/12T),[7/24],163.7
AMD R7 1700X,(8C/16T),[7/24],157.1
AMD R7 1700,(8C/16T),[7/24],150.4
AMD R5 1600,(6C/12T),[7/24],143.1
