CPU_Model,Core_Count,Date,Score
AMD R7 7800X3D,(8C/16T),[7/24],363.2
AMD R7 5800X3D,(8C/16T),[7/24],342.4
AMD R9 9950X,(16C/32T),[8/24],336.2
AMD R5 5600X3D,(6C/12T),[7/24],334.0
AMD R9 9900X,(12C/24T),[8/24],333.3
AMD R7 9700X,(8C/16T),[8/24],329.4
AMD R7 5700X3D,(8C/16T),[7/24],310.8
Intel i9-14900K,(8P/16E/32T),[7/24],308.6
Intel i9-14900K,(8P/16E/32T),[7/24],300.7
Intel i9-13900K,(8P/16E/32T),[7/24],296.4
AMD R7 7700X,(8C/16T),[7/24],292.6
AMD R9 7950X,(16C/32T),[7/24],291.6
AMD R5 7600X,(6C/12T),[7/24],290.7
Intel i7-14700K,(8P/12E/28T),[7/24],287.2
AMD R7 7700,(8C/16T),[8/24],282.9
AMD R7 5800X,(8C/16T),[7/24],271.8
Intel i7-13700K,(8P/8E/24T),[7/24],271.4
AMD R9 7900,(12C/24T),[7/24],267.9
AMD R9 5900X,(12C/24T),[7/24],265.8
AMD R5 5600X,(6C/12T),[7/24],261.4
Intel i5-14600K,(6P/8E/20T),[7/24],253.9
Intel i5-13600K,(6P/8E/20T),[7/24],249.7
Intel i9-12900K,(8P/8E/24T),[7/24],247.3
Intel i5-12600K,(6P/4E/16T),[7/24],205.8
Intel i3-12100F,(4P/0E/8T),[7/24],185.5
AMD R7 3700X,(8C/16T),[7/24],176.5
AMD R5 3600,(6C/12T),[7/24],174.0
AMD R5 2600,(6C/12T),[7/24],153.0
AMD R7 2700,(8C/16T),[7/24],147.0
AMD R7 1700X,(8C/16T),[7/24],138.7
AMD R5 1600,(6C/12T),[7/24],131.9
AMD R7 1700,(8C/16T),[7/24],130.7
