CPU_Model,Core_Count,Date,Score
AMD R7 7800X3D,(8C/16T),[7/24],274.8
AMD R7 7800X3D,(8C/16T),[7/24],273.3
AMD R7 9700X,(8C/16T),[8/24],272.9
Intel i9-14900K,(8P/16E/32T),[7/24],269.5
Intel i9-14900K,(8P/16E/32T),[7/24],269.4
AMD R7 5800X3D,(8C/16T),[7/24],269.3
Intel i9-13900K,(8P/16E/32T),[7/24],268.9
AMD R5 5600X3D,(6C/12T),[7/24],268.9
Intel i7-14700K,(8P/12E/28T),[7/24],267.5
AMD R7 5700X3D,(8C/16T),[7/24],266.9
AMD R9 7950X,(16C/32T),[7/24],266.2
AMD R7 7700X,(8C/16T),[7/24],262.6
AMD R5 7600X,(6C/12T),[7/24],262.1
Intel i7-13700K,(8P/8E/24T),[7/24],260.2
AMD R7 5800X,(8C/16T),[7/24],256.2
AMD R9 5900X,(12C/24T),[7/24],255.1
AMD R5 5600X,(6C/12T),[7/24],251.6
AMD R9 5950X,(16C/32T),[7/24],248.6
Intel i5-14600K,(6P/8E/20T),[7/24],246.8
Intel i9-12900K,(8P/8E/24T),[7/24],239.9
Intel i5-13600K,(6P/8E/20T),[7/24],239.5
Intel i5-12600K,(6P/4E/16T),[7/24],208.4
Intel i3-12100F,(4P/0E/8T),[7/24],183.5
AMD R7 3700X,(8C/16T),[7/24],177.7
AMD R5 3600,(6C/12T),[7/24],173.3
AMD R5 2600,(6C/12T),[7/24],151.4
AMD R7 2700,(8C/16T),[7/24],147.7
AMD R7 1700X,(8C/16T),[7/24],137.6
AMD R5 1600,(6C/12T),[7/24],131.8
AMD R7 1700,(8C/16T),[7/24],131.6
