CPU_Model,Core_Count,Date,Score
AMD R7 9700X,(8C/16T),[8/24],11950
AMD R7 9700X,(8C/16T),[7/24],11874
AMD R9 9950X,(16C/32T),[8/24],11694
AMD R9 9900X,(12C/24T),[8/24],11385
AMD R9 7950X,(16C/32T),[7/24],10923
AMD R7 7700X,(8C/16T),[7/24],10850
AMD R7 7700,(8C/16T),[8/24],10749
AMD R7 7800X3D,(8C/16T),[7/24],10474
AMD R5 7600X,(6C/12T),[7/24],10350
AMD R9 7900,(12C/24T),[7/24],10316
Intel i9-14900K,(8P/16E/32T),[7/24],10273
Intel i9-14900K,(8P/16E/32T),[7/24],10049
Intel i9-13900K,(8P/16E/32T),[7/24],9974
Intel i7-14700K,(8P/12E/28T),[7/24],9971
Intel i7-13700K,(8P/8E/24T),[7/24],9849
Intel i5-14600K,(6P/8E/20T),[7/24],9674
Intel i5-13600K,(6P/8E/20T),[7/24],9474
Intel i9-12900K,(8P/8E/24T),[7/24],9374
AMD R7 5800X3D,(8C/16T),[7/24],8925
AMD R9 5950X,(16C/32T),[7/24],8799
AMD R7 5800X,(8C/16T),[7/24],8775
Intel i5-12600K,(6P/4E/16T),[7/24],8775
AMD R9 5900X,(12C/24T),[7/24],8771
AMD R5 5600X3D,(6C/12T),[7/24],8350
AMD R7 5700X3D,(8C/16T),[7/24],8299
AMD R5 5600X,(6C/12T),[7/24],8175
AMD R9 3950X,(16C/32T),[7/24],7318
AMD R7 3700X,(8C/16T),[7/24],7073
Intel i3-12100F,(4P/0E/8T),[7/24],6996
AMD R5 3600,(6C/12T),[7/24],6648
AMD R5 2600,(6C/12T),[7/24],5424
AMD R7 2700,(8C/16T),[7/24],5398
AMD R7 1700X,(8C/16T),[7/24],5198
AMD R7 1700,(8C/16T),[7/24],4924
AMD R5 1600,(6C/12T),[7/24],4824
