CPU_Model,Core_Count,Date,Score
Intel i9-14900K,(8P/16E/32T),[7/24],10987
AMD R9 9950X,(16C/32T),[8/24],10953
Intel i9-14900K,(8P/16E/32T),[7/24],10715
Intel i9-13900K,(8P/16E/32T),[7/24],10692
AMD R9 7950X,(16C/32T),[7/24],10576
Intel i7-14700K,(8P/12E/28T),[7/24],10427
AMD R9 9900X,(12C/24T),[8/24],10330
AMD R9 7900X,(12C/24T),[7/24],10099
Intel i7-13700K,(8P/8E/24T),[7/24],9993
AMD R9 7900,(12C/24T),[7/24],9719
Intel i5-14600K,(6P/8E/20T),[7/24],9619
Intel i9-12900K,(8P/8E/24T),[7/24],9520
AMD R7 9700X,(8C/16T),[8/24],9396
AMD R7 9700X,(8C/16T),[7/24],9335
Intel i5-13600K,(6P/8E/20T),[7/24],9187
AMD R7 7700X,(8C/16T),[7/24],9101
AMD R7 7800X3D,(8C/16T),[7/24],8905
AMD R7 7700,(8C/16T),[8/24],8858
AMD R9 5950X,(16C/32T),[7/24],8364
AMD R5 7600X,(6C/12T),[7/24],8239
AMD R9 5900X,(12C/24T),[7/24],8237
Intel i5-12600K,(6P/4E/16T),[7/24],8112
AMD R9 3950X,(16C/32T),[7/24],7690
AMD R7 5800X3D,(8C/16T),[7/24],7573
AMD R7 5800X,(8C/16T),[7/24],7374
AMD R7 5700X3D,(8C/16T),[7/24],7175
AMD R5 5600X3D,(6C/12T),[7/24],6815
AMD R7 3700X,(8C/16T),[7/24],6613
AMD R5 5600X,(6C/12T),[7/24],6561
AMD R5 3600,(6C/12T),[7/24],5895
AMD R7 2700,(8C/16T),[7/24],5500
AMD R7 1700X,(8C/16T),[7/24],5359
Intel i3-12100F,(4P/0E/8T),[7/24],5318
AMD R7 1700,(8C/16T),[7/24],5176
AMD R5 2600,(6C/12T),[7/24],5130
AMD R5 1600,(6C/12T),[7/24],4535
