CPU_Model,Core_Count,Date,Score
Intel i9-14900K,(8P/16E/32T),[7/24],683.7
Intel i9-14900K,(8P/16E/32T),[7/24],678.1
Intel i9-13900K,(8P/16E/32T),[7/24],677.8
Intel i7-14700K,(8P/12E/28T),[7/24],669.0
AMD R9 7950X3D,(16C/32T),[7/24],660.4
AMD R7 7800X3D,(8C/16T),[7/24],649.7
Intel i7-13700K,(8P/8E/24T),[7/24],641.3
AMD R7 5800X3D,(8C/16T),[7/24],638.3
AMD R9 7950X,(16C/32T),[7/24],625.1
AMD R5 5600X3D,(6C/12T),[7/24],617.1
Intel i5-14600K,(6P/8E/20T),[7/24],612.8
AMD R7 7700X,(8C/16T),[7/24],611.0
AMD R5 7600X,(6C/12T),[7/24],601.2
AMD R7 5700X3D,(8C/16T),[7/24],600.8
Intel i9-12900K,(8P/8E/24T),[7/24],598.9
AMD R9 5950X,(16C/32T),[7/24],587.3
AMD R9 5900X,(12C/24T),[7/24],580.2
AMD R7 5800X,(8C/16T),[7/24],551.0
AMD R5 5600X,(6C/12T),[7/24],549.8
Intel i5-12600K,(6P/4E/16T),[7/24],481.8
Intel i5-12400,(6P/0E/12T),[7/24],443.3
Intel i7-9700K,(8C/8T),[7/24],427.1
Intel i9-9900K,(8C/16T),[7/24],423.5
Intel i5-8600K,(6C/6T),[7/24],407.2
AMD R9 3950X,(16C/32T),[7/24],402.4
Intel i7-8700K,(6C/12T),[7/24],393.5
Intel i3-12100F,(4P/0E/8T),[7/24],377.8
AMD R7 3700X,(8C/16T),[7/24],364.0
AMD R5 3600,(6C/12T),[7/24],354.7
AMD R7 2700,(8C/16T),[7/24],277.4
AMD R7 1700X,(8C/16T),[7/24],276.3
AMD R5 2600,(6C/12T),[7/24],273.3
AMD R5 1600,(6C/12T),[7/24],249.8
