CPU_Model,Core_Count,Date,Score
AMD R9 9950X,(16C/32T),[8/24],9.47
AMD R9 7950X,(16C/32T),[7/24],8.79
AMD R9 7950X3D,(16C/32T),[7/24],8.26
Intel i9-14900K,(8P/16E/32T),[7/24],7.88
AMD R9 9900X,(12C/24T),[8/24],7.27
Intel i7-14700K,(8P/12E/28T),[7/24],7.01
AMD R9 7900X,(12C/24T),[7/24],6.68
Intel i9-13900K,(8P/16E/32T),[7/24],6.57
AMD R9 5950X,(16C/32T),[7/24],5.88
AMD R9 3950X,(16C/32T),[7/24],5.81
Intel i9-12900K,(8P/8E/24T),[7/24],5.38
Intel i7-13700K,(8P/8E/24T),[7/24],5.03
AMD R9 5900X,(12C/24T),[7/24],4.88
Intel i5-13600K,(6P/8E/20T),[7/24],4.74
AMD R7 7700X,(8C/16T),[7/24],4.67
AMD R7 9700X,(8C/16T),[8/24],4.33
AMD R7 7800X3D,(8C/16T),[7/24],4.07
AMD R7 5800X,(8C/16T),[7/24],3.6
AMD R5 7600X,(6C/12T),[7/24],3.51
AMD R7 5800X3D,(8C/16T),[7/24],3.41
AMD R7 5700X3D,(8C/16T),[7/24],3.17
AMD R7 3700X,(8C/16T),[7/24],3.04
Intel i5-12600K,(6P/4E/16T),[7/24],2.96
AMD R5 5600X3D,(6C/12T),[7/24],2.61
AMD R5 5600X,(6C/12T),[7/24],2.59
AMD R7 2700,(8C/16T),[7/24],2.31
AMD R5 3600,(6C/12T),[7/24],2.28
AMD R7 1700X,(8C/16T),[7/24],2.22
AMD R7 1700,(8C/16T),[7/24],2.03
AMD R5 2600,(6C/12T),[7/24],1.91
Intel i5-12400,(6P/0E/12T),[7/24],1.88
AMD R5 1600,(6C/12T),[7/24],1.61
