CPU_Model,Core_Count,Date,Score
AMD R9 9950X,(16C/32T),[8/24],6.93
Intel i9-14900K,(8P/16E/32T),[7/24],6.91
AMD R9 7950X3D,(16C/32T),[7/24],6.83
Intel i9-13900K,(8P/16E/32T),[7/24],6.77
AMD R9 7950X,(16C/32T),[7/24],6.61
Intel i7-14700K,(8P/12E/28T),[7/24],6.54
AMD R9 9900X,(12C/24T),[8/24],6.06
Intel i7-13700K,(8P/8E/24T),[7/24],6.05
AMD R9 7900X,(12C/24T),[7/24],5.8
Intel i9-12900K,(8P/8E/24T),[7/24],5.63
Intel i5-14600K,(6P/8E/20T),[7/24],5.2
Intel i5-13600K,(6P/8E/20T),[7/24],5.13
AMD R7 7800X3D,(8C/16T),[7/24],4.48
AMD R7 7700X,(8C/16T),[7/24],4.45
AMD R9 5950X,(16C/32T),[7/24],4.38
AMD R7 9700X,(8C/16T),[7/24],4.37
AMD R7 9700X,(8C/16T),[8/24],4.34
Intel i5-12600K,(6P/4E/16T),[7/24],4.23
AMD R9 5900X,(12C/24T),[7/24],4.03
AMD R5 7600X,(6C/12T),[7/24],3.71
AMD R7 5800X3D,(8C/16T),[7/24],3.25
AMD R7 5800X,(8C/16T),[7/24],3.19
Intel i5-12400,(6P/0E/12T),[7/24],3.19
AMD R7 5700X3D,(8C/16T),[7/24],3.13
AMD R7 3700X,(8C/16T),[7/24],2.84
AMD R5 5600X3D,(6C/12T),[7/24],2.78
AMD R5 5600X,(6C/12T),[7/24],2.62
AMD R7 2700,(8C/16T),[7/24],2.46
AMD R5 3600,(6C/12T),[7/24],2.41
AMD R7 1700X,(8C/16T),[7/24],2.33
AMD R7 1700,(8C/16T),[7/24],2.21
AMD R5 2600,(6C/12T),[7/24],2.16
AMD R5 1600,(6C/12T),[7/24],1.89
Intel i3-9100F,(4C/4T),[7/24],1.14
