CPU_Model,Core_Count,Date,Score
AMD R9 9950X,(16C/32T),[8/24],10.61
Intel i9-14900K,(8P/16E/32T),[7/24],9.06
Intel i9-13900K,(8P/16E/32T),[7/24],8.98
Intel i7-14700K,(8P/12E/28T),[7/24],8.59
AMD R9 7950X,(16C/32T),[7/24],8.23
Intel i7-13700K,(8P/8E/24T),[7/24],7.24
AMD R9 9900X,(12C/24T),[8/24],6.81
Intel i9-12900K,(8P/8E/24T),[7/24],6.79
AMD R9 7900X,(12C/24T),[7/24],6.22
AMD R7 9700X,(8C/16T),[7/24],5.81
AMD R7 9700X,(8C/16T),[8/24],5.79
Intel i5-14600K,(6P/8E/20T),[7/24],5.64
Intel i5-13600K,(6P/8E/20T),[7/24],5.33
AMD R7 7700X,(8C/16T),[7/24],5.23
AMD R7 7700,(8C/16T),[7/24],4.87
AMD R7 7800X3D,(8C/16T),[7/24],4.8
AMD R9 5950X,(16C/32T),[7/24],4.78
AMD R9 3950X,(16C/32T),[7/24],4.34
Intel i5-12600K,(6P/4E/16T),[7/24],4.06
AMD R5 7600X,(6C/12T),[7/24],4
AMD R7 5800X,(8C/16T),[7/24],4
AMD R7 5800X3D,(8C/16T),[7/24],3.7
AMD R7 5700X3D,(8C/16T),[7/24],3.48
AMD R7 3700X,(8C/16T),[7/24],3.28
Intel i5-12400,(6P/0E/12T),[7/24],2.97
AMD R5 5600X,(6C/12T),[7/24],2.9
AMD R5 3600,(6C/12T),[7/24],2.58
AMD R7 2700,(8C/16T),[7/24],2.38
AMD R7 1700X,(8C/16T),[7/24],2.29
AMD R7 1700,(8C/16T),[7/24],2.18
AMD R5 2600,(6C/12T),[7/24],2.04
AMD R5 1600,(6C/12T),[7/24],1.83
