CPU_Model,Core_Count,Date,Score
AMD R7 7800X3D,(8C/16T),[7/24],152.7
Intel i9-14900K,(8P/16E/32T),[7/24],147.0
AMD R9 7950X3D,(16C/32T),[7/24],145.8
Intel i9-14900K,(8P/16E/32T),[7/24],141.8
Intel i7-14700K,(8P/12E/28T),[7/24],141.6
Intel i7-13700K,(8P/8E/24T),[7/24],139.9
AMD R9 9950X,(16C/32T),[8/24],134.9
Intel i5-14600K,(6P/8E/20T),[7/24],134.8
AMD R9 7950X,(16C/32T),[7/24],134.5
AMD R7 9700X,(8C/16T),[7/24],131.3
Intel i5-13600K,(6P/8E/20T),[7/24],130.5
Intel i9-12900K,(8P/8E/24T),[7/24],129.1
AMD R7 5800X3D,(8C/16T),[7/24],125.4
AMD R7 7700X,(8C/16T),[7/24],123.7
AMD R7 5700X3D,(8C/16T),[7/24],120.5
AMD R7 7700,(8C/16T),[8/24],119.8
AMD R9 9900X,(12C/24T),[8/24],116.1
AMD R9 7900X,(12C/24T),[7/24],115.4
AMD R5 5600X3D,(6C/12T),[7/24],112.0
AMD R5 9600X,(6C/12T),[8/24],111.7
AMD R5 7600X,(6C/12T),[7/24],110.8
AMD R9 5950X,(16C/32T),[7/24],107.2
AMD R5 7600,(6C/12T),[8/24],106.0
AMD R7 5800X,(8C/16T),[7/24],102.3
AMD R9 5900X,(12C/24T),[7/24],100.2
AMD R9 3950X,(16C/32T),[7/24],91.6
Intel i5-12400,(6P/0E/12T),[7/24],90.1
AMD R5 5600X,(6C/12T),[7/24],88.9
Intel i9-9900K,(8C/16T),[7/24],85.9
AMD R7 3700X,(8C/16T),[7/24],83.6
Intel i7-8700K,(6C/12T),[7/24],77.2
Intel i7-8086K,(6C/12T),[7/24],76.4
Intel i3-12100F,(4P/0E/8T),[7/24],72.3
AMD R5 3600,(6C/12T),[7/24],71.4
AMD R7 2700,(8C/16T),[7/24],66.1
Intel i5-8600K,(6C/6T),[7/24],63.0
AMD R7 1700X,(8C/16T),[7/24],63.0
AMD R7 1700,(8C/16T),[7/24],60.4
AMD R5 2600,(6C/12T),[7/24],59.3
AMD R5 1600,(6C/12T),[7/24],53.0
AMD R3 1300X,(4C/4T),[7/24],39.3
