CPU_Model,Core_Count,Date,Score
AMD R7 9700X,(8C/16T),[8/24],27.4
AMD R9 9950X,(16C/32T),[8/24],28.4
AMD R7 7800X3D,(8C/16T),[7/24],28.5
AMD R5 9600X,(6C/12T),[8/24],28.8
AMD R9 7950X3D,(16C/32T),[7/24],29.9
Intel i9-14900K,(8P/16E/32T),[7/24],30.0
AMD R9 9900X,(12C/24T),[8/24],30.0
AMD R7 7700X,(8C/16T),[7/24],30.1
Intel i7-14700K,(8P/12E/28T),[7/24],30.5
Intel i9-14900K,(8P/16E/32T),[7/24],30.7
Intel i9-13900K,(8P/16E/32T),[7/24],31.2
AMD R7 7700,(8C/16T),[8/24],31.4
AMD R5 7600X,(6C/12T),[7/24],32.1
Intel i5-14600K,(6P/8E/20T),[7/24],32.3
Intel i5-13600K,(6P/8E/20T),[7/24],32.9
AMD R5 7600,(6C/12T),[8/24],33.1
AMD R7 5800X3D,(8C/16T),[7/24],33.2
AMD R9 7950X,(16C/32T),[7/24],33.3
AMD R9 7900X,(12C/24T),[7/24],33.3
Intel i9-12900K,(8P/8E/24T),[7/24],34.4
AMD R9 7900,(12C/24T),[7/24],35.2
AMD R5 5600X3D,(6C/12T),[7/24],35.3
AMD R7 5700X3D,(8C/16T),[7/24],35.7
AMD R7 5800X,(8C/16T),[7/24],37.5
Intel i5-12600K,(6P/4E/16T),[7/24],38.6
AMD R5 5600X,(6C/12T),[7/24],40.1
AMD R9 5950X,(16C/32T),[7/24],40.2
AMD R9 5900X,(12C/24T),[7/24],40.4
Intel i5-12400,(6P/0E/12T),[7/24],42.3
Intel i3-12100F,(4P/0E/8T),[7/24],45.1
AMD R7 3700X,(8C/16T),[7/24],49.4
Intel i7-9700K,(8C/8T),[7/24],49.8
Intel i9-9900K,(8C/16T),[7/24],49.9
AMD R9 3950X,(16C/32T),[7/24],51.0
Intel i5-8600K,(6C/6T),[7/24],52.7
Intel i7-8086K,(6C/12T),[7/24],52.7
Intel i7-8700K,(6C/12T),[7/24],52.7
AMD R5 3600,(6C/12T),[7/24],53.2
AMD R7 2700,(8C/16T),[7/24],63.5
AMD R5 2600,(6C/12T),[7/24],63.6
Intel Pentium G7400,(2P/0E/4T),[7/24],65.0
AMD R7 1700X,(8C/16T),[7/24],68.2
Intel i3-9100F,(4C/4T),[7/24],73.8
AMD R3 1300X,(4C/4T),[7/24],85.6
