CPU_Model,Core_Count,Date,Score
AMD R7 9700X,(8C/16T),[7/24],498.0
AMD R5 9600X,(6C/12T),[8/24],481.3
Intel i7-14700K,(8P/12E/28T),[7/24],479.8
AMD R7 7700,(8C/16T),[8/24],478.4
AMD R7 7800X3D,(8C/16T),[7/24],477.5
Intel i7-13700K,(8P/8E/24T),[7/24],477.4
AMD R7 9700X,(8C/16T),[8/24],476.8
AMD R7 7700X,(8C/16T),[7/24],475.9
AMD R7 7800X3D,(8C/16T),[7/24],473.0
Intel i5-13600K,(6P/8E/20T),[7/24],467.3
AMD R7 5800X3D,(8C/16T),[7/24],460.3
AMD R9 9900X,(12C/24T),[8/24],457.9
Intel i9-14900K,(8P/16E/32T),[7/24],456.9
Intel i5-14600K,(6P/8E/20T),[7/24],454.3
Intel i9-14900K,(8P/16E/32T),[7/24],453.8
AMD R5 7600X,(6C/12T),[7/24],453.0
Intel i9-13900K,(8P/16E/32T),[7/24],451.2
AMD R5 5600X3D,(6C/12T),[7/24],443.9
Intel i9-12900K,(8P/8E/24T),[7/24],441.4
AMD R7 5800X,(8C/16T),[7/24],420.8
AMD R5 5600X,(6C/12T),[7/24],410.5
AMD R7 5700X3D,(8C/16T),[7/24],410.0
AMD R9 7900,(12C/24T),[7/24],398.7
AMD R9 7950X3D,(16C/32T),[7/24],388.9
Intel i5-12600K,(6P/4E/16T),[7/24],388.4
AMD R9 5900X,(12C/24T),[7/24],384.1
AMD R9 9950X,(16C/32T),[8/24],372.9
Intel i5-12400,(6P/0E/12T),[7/24],335.0
AMD R9 7950X,(16C/32T),[7/24],324.7
AMD R9 5950X,(16C/32T),[7/24],316.0
Intel i9-9900K,(8C/16T),[7/24],306.1
Intel i7-8086K,(6C/12T),[7/24],302.9
Intel i7-8700K,(6C/12T),[7/24],302.2
AMD R7 3700X,(8C/16T),[7/24],280.9
Intel i3-12100F,(4P/0E/8T),[7/24],279.7
Intel i5-8600K,(6C/6T),[7/24],276.9
AMD R5 3600,(6C/12T),[7/24],276.0
AMD R5 2600,(6C/12T),[7/24],229.9
AMD R7 2700,(8C/16T),[7/24],221.1
AMD R7 1700X,(8C/16T),[7/24],205.4
AMD R5 1600,(6C/12T),[7/24],198.6
AMD R7 1700,(8C/16T),[7/24],195.8
Intel i3-9100F,(4C/4T),[7/24],177.9
Intel Pentium G7400,(2P/0E/4T),[7/24],175.7
AMD R9 3950X,(16C/32T),[7/24],158.5
AMD R3 1300X,(4C/4T),[7/24],149.0
