GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],88.3,73.2,61.9
NVIDIA RTX 4090 Cybertank,[4/25],65.1,54.3,45.9
NVIDIA RTX 5080 FE,[1/25],58.6,51.3,43.4
ASUS RTX 5070 Ti Prime,[2/25],51.9,45.4,38.4
NVIDIA RTX 4080 Super FE,[1/25],51.6,44.9,38.0
NVIDIA RTX 4080 FE,[1/25],50.8,43.7,37.0
ASUS RTX 4070 Ti Super TUF,[1/25],45.2,39.2,33.1
ASUS RTX 4070 Ti TUF,[1/25],40.4,35.1,29.7
NVIDIA RTX 5070 FE,[2/25],40.0,35.5,30.0
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],33.8,29.5,24.9
Gigabyte Aorus RTX 3090 Master,[1/25],29.8,26.1,22.1
Sapphire RX 9070 XT Pulse,[2/25],29.1,23.1,19.5
PNY RTX 5060 Ti,[4/25],28.8,25.5,21.6
EVGA RTX 3080 FTW3 Ultra,[1/25],27.7,24.1,20.4
Sapphire RX 9070 Pulse,[2/25],25.5,21.1,17.8
Gigabyte RTX 5060 Eagle OC,[5/25],24.0,21.9,18.5
NVIDIA RTX 3070 Ti FE,[2/25],22.0,19.3,16.3
Sapphire RX 7900 XTX Nitro,[1/25],20.1,18.3,15.5
EVGA RTX 2080 Ti XC Ultra,[1/25],18.9,16.8,14.2
PowerColor RX 7900 XT Hellhound,[1/25],15.8,14.1,11.9
NVIDIA RTX 2080 Super FE,[2/25],15.7,14.0,11.8
EVGA RTX 2080,[2/25],15.3,13.7,11.6
EVGA RTX 2070 Super XC Ultra,[2/25],14.1,12.5,10.6
Sapphire RX 6950 XT Nitro,[1/25],13.7,12.2,10.3
Sapphire RX 7900 GRE Pulse,[3/25],13.1,11.7,9.9
EVGA RTX 2070,[2/25],12.2,11.0,9.3
