GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[2/25],202.3,132.8,112.1
NVIDIA RTX 4090 Cybertank,[4/25],199.7,129.7,109.5
NVIDIA RTX 5080 FE,[2/25],185.2,122.6,103.5
Sapphire RX 7900 XTX Nitro,[2/25],174.7,120.0,101.4
NVIDIA RTX 4080 FE,[2/25],172.3,118.9,100.4
ASUS RTX 5070 Ti Prime,[2/25],166.9,120.7,101.9
Sapphire RX 9070 XT Pulse,[3/25],161.5,116.5,98.4
PowerColor RX 7900 XT Hellhound,[2/25],150.3,115.9,98.0
Sapphire RX 9070 Pulse,[2/25],148.1,116.0,98.0
NVIDIA RTX 5070 FE,[2/25],138.1,110.5,93.4
ASUS RTX 4070 Ti TUF,[2/25],137.1,107.7,91.0
Sapphire RX 7900 GRE Pulse,[3/25],124.2,103.5,87.5
AMD RX 7800 XT Ref,[2/25],117.4,97.9,82.7
EVGA RTX 3080 FTW3 Ultra,[2/25],115.3,95.7,80.9
PNY RTX 5060 Ti,[4/25],108.5,92.2,77.9
NVIDIA RTX 3070 Ti FE,[2/25],90.5,76.9,65.0
Gigabyte RTX 5060 Eagle OC,[5/25],89.4,77.0,65.1
Colorful RTX 3070 BiliBili,[2/25],85.4,73.6,62.2
EVGA RTX 2070 Super XC Ultra,[2/25],66.8,58.0,49.0
EVGA RTX 2070,[2/25],60.0,52.7,44.5
EVGA GTX 1070 SC,[2/25],35.1,31.2,26.4
