GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],164.9,134.1,113.4
NVIDIA RTX 4090 Cybertank,[4/25],138.2,114.9,97.2
NVIDIA RTX 5080 FE,[1/25],115.8,98.0,82.9
Sapphire RX 7900 XTX Nitro,[1/25],107.9,86.2,72.9
NVIDIA RTX 4080 Super FE,[1/25],105.9,89.9,76.1
Sapphire RX 9070 XT Pulse,[3/25],102.6,84.9,71.8
ASUS RTX 5070 Ti Prime,[2/25],102.4,86.1,72.8
Sapphire RX 9070 Pulse,[2/25],93.8,77.3,65.4
PowerColor RX 7900 XT Hellhound,[1/25],90.1,73.9,62.5
ASUS RTX 4070 Ti TUF,[1/25],84.4,71.8,60.7
NVIDIA RTX 5070 FE,[2/25],82.8,69.3,58.6
Sapphire RX 7900 GRE Pulse,[3/25],74.4,61.8,52.3
Sapphire RX 6950 XT Nitro,[1/25],74.0,57.0,48.2
AMD RX 7800 XT Ref,[12/24],67.8,54.9,46.4
NVIDIA RTX 4070 FE,[12/24],67.6,57.3,48.5
EVGA RTX 3080 FTW3 Ultra,[1/25],67.5,56.6,47.9
PNY RTX 5060 Ti,[4/25],62.0,52.2,44.2
XFX RX 7700 XT Black,[12/24],58.3,47.9,40.5
Colorful RTX 3070 BiliBili,[12/24],51.1,42.8,36.2
Gigabyte RTX 5060 Eagle OC,[5/25],50.2,42.0,35.5
NVIDIA RTX 4060 Ti FE,[12/24],49.4,41.8,35.4
XFX RX 6700 XT MERC Black,[12/24],46.7,37.2,31.5
EVGA RTX 3060 Ti FTW3,[12/24],45.9,38.2,32.3
ASUS RTX 4060 Dual,[12/24],39.5,32.5,27.5
AMD RX 7600 Ref,[12/24],39.4,30.9,26.1
PowerColor RX 6600 XT Red Devil,[12/24],36.2,29.1,24.6
Acer Arc A770 BiFrost,[12/24],36.0,32.0,24.1
Intel Arc B580 Ref,[12/24],35.9,28.0,21.0
Sparkle Arc A750 Titan,[12/24],34.3,30.7,23.1
EVGA RTX 3060 XC Black,[12/24],34.1,28.0,23.7
EVGA RTX 2070,[2/25],33.8,28.0,23.7
Sparkle Arc B570 Guardian,[1/25],31.4,23.1,17.4
XFX RX 6600 CORE,[12/24],31.1,23.3,19.7
EVGA RTX 2060 KO,[12/24],25.9,20.5,17.3
