GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],216.1,185.7,156.8
NVIDIA RTX 4090 Cybertank,[4/25],173.7,147.7,124.7
NVIDIA RTX 5080 FE,[1/25],149.1,132.7,112.0
Sapphire RX 7900 XTX Nitro,[1/25],140.7,125.7,106.2
NVIDIA RTX 4080 Super FE,[1/25],133.6,117.6,99.3
ASUS RTX 5070 Ti Prime,[2/25],129.9,115.7,97.7
Sapphire RX 9070 XT Pulse,[3/25],117.8,104.8,88.5
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],114.6,102.5,86.6
PowerColor RX 7900 XT Hellhound,[1/25],111.2,98.3,83.1
NVIDIA RTX 5070 FE,[2/25],106.2,95.9,81.0
Sapphire RX 9070 Pulse,[2/25],106.0,94.6,79.9
ASUS RTX 4070 Ti TUF,[1/25],103.7,93.2,78.7
Sapphire RX 6950 XT Nitro,[1/25],103.5,91.3,77.1
Sapphire RX 7900 GRE Pulse,[3/25],95.5,85.0,71.8
EVGA RTX 3080 FTW3 Ultra,[1/25],90.9,79.8,67.4
AMD RX 7800 XT Ref,[12/24],83.9,74.7,63.1
NVIDIA RTX 4070 FE,[12/24],78.2,69.5,58.7
PNY RTX 5060 Ti,[4/25],73.9,66.7,56.4
XFX RX 7700 XT Black,[12/24],70.5,63.2,53.4
Colorful RTX 3070 BiliBili,[12/24],66.5,59.6,50.3
Intel Arc B580 Ref,[12/24],63.0,56.5,42.5
Gigabyte RTX 5060 Eagle OC,[5/25],61.7,55.0,46.5
XFX RX 6700 XT MERC Black,[12/24],60.7,53.4,45.1
EVGA RTX 3060 Ti FTW3,[12/24],60.0,53.4,45.1
NVIDIA RTX 4060 Ti FE,[12/24],59.3,52.8,44.6
Acer Arc A770 BiFrost,[12/24],56.1,51.9,39.0
Sparkle Arc B570 Guardian,[1/25],53.1,47.8,35.9
ASUS RTX 4060 Dual,[12/24],49.1,43.7,36.9
AMD RX 7600 Ref,[12/24],47.2,41.6,35.2
PowerColor RX 6600 XT Red Devil,[12/24],44.5,39.5,33.4
EVGA RTX 3060 XC Black,[12/24],40.6,36.1,30.5
XFX RX 6600 CORE,[12/24],37.6,33.2,28.1
EVGA RTX 2060 KO,[12/24],32.6,29.1,24.6
