GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],316.5,191.6,162.4
NVIDIA RTX 4090 Cybertank,[12/24],271.5,174.1,147.6
NVIDIA RTX 5080 FE,[1/25],217.0,147.9,125.3
Sapphire RX 7900 XTX Nitro,[1/25],211.8,149.3,126.5
NVIDIA RTX 4080 Super FE,[1/25],202.2,140.1,118.7
ASUS RTX 5070 Ti Prime,[2/25],186.7,131.2,111.2
ASUS RTX 4070 Ti Super TUF,[1/25],171.7,123.3,104.6
PowerColor RX 7900 XT Hellhound,[1/25],170.8,122.8,104.1
NVIDIA RTX 5070 FE,[2/25],152.8,113.7,96.4
ASUS RTX 4070 Ti TUF,[1/25],151.1,113.9,96.6
Sapphire RX 6950 XT Nitro,[1/25],150.3,114.1,96.7
Sapphire RX 9070 XT Pulse,[3/25],138.9,101.5,86.0
Sapphire RX 7900 GRE Pulse,[3/25],136.7,107.3,90.9
EVGA RTX 3080 FTW3 Ultra,[1/25],128.9,102.6,87.0
Sapphire RX 9070 Pulse,[2/25],128.1,93.5,79.2
AMD RX 7800 XT Ref,[12/24],121.0,96.5,81.8
NVIDIA RTX 4070 FE,[12/24],117.4,94.6,80.1
NVIDIA RTX 3070 Ti FE,[2/25],108.3,87.6,74.3
PNY RTX 5060 Ti 16GB,[4/25],103.8,86.5,73.3
XFX RX 7700 XT Black,[12/24],98.2,81.6,69.2
Colorful RTX 3070 BiliBili,[12/24],96.5,79.2,67.2
EVGA RTX 3060 Ti FTW3,[12/24],89.3,73.2,62.1
Gigabyte RTX 5060 Eagle OC,[5/25],86.9,72.5,61.4
Intel Arc B580 Ref,[12/24],86.2,72.9,54.8
XFX RX 6700 XT MERC Black,[12/24],85.9,70.9,60.1
NVIDIA RTX 4060 Ti FE,[12/24],83.4,69.4,58.9
Acer Arc A770 BiFrost,[12/24],79.1,66.0,49.6
EVGA RTX 2070 Super XC Ultra,[2/25],76.2,62.0,52.6
Sparkle Arc A750 Titan,[12/24],72.2,59.2,44.5
ASUS RTX 4060 Dual,[12/24],72.1,59.1,50.1
EVGA RTX 2070,[2/25],67.4,54.3,46.1
AMD RX 7600 Ref,[12/24],65.6,54.1,45.9
PowerColor RX 6600 XT Red Devil,[12/24],62.6,52.1,44.2
EVGA RTX 3060 XC Black,[12/24],62.5,51.6,43.7
EVGA RTX 2060 KO,[12/24],55.8,45.1,38.3
XFX RX 6600 CORE,[12/24],52.4,43.0,36.5
EVGA RTX 3050 XC Black,[12/24],44.8,35.8,30.4
EVGA GTX 1070 SC,[12/24],45.9,36.3,30.8
XFX RX 6500 XT Black,[12/24],30.9,25.6,21.7
EVGA GTX 1650,[12/24],23.4,18.9,16.0
