GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],181.7,130.8,104.4
NVIDIA RTX 4090 Cybertank,[12/24],138.5,107.2,85.7
NVIDIA RTX 5080 FE,[1/25],112.4,93.7,74.8
Sapphire RX 7900 XTX Nitro,[1/25],104.4,87.9,70.2
NVIDIA RTX 4080 Super FE,[1/25],98.6,83.2,66.5
ASUS RTX 5070 Ti Prime,[2/25],97.2,82.1,65.6
PowerColor RX 7900 XT Hellhound,[1/25],82.3,68.8,55.0
NVIDIA RTX 5070 FE,[2/25],77.5,66.4,53.1
Sapphire RX 6950 XT Nitro,[1/25],73.2,61.3,49.0
ASUS RTX 4070 Ti TUF,[1/25],72.8,62.0,49.6
EVGA RTX 3080 FTW3 Ultra,[1/25],71.2,59.9,47.9
Sapphire RX 9070 XT Pulse,[3/25],68.2,50.7,40.6
Sapphire RX 7900 GRE Pulse,[3/25],63.6,54.0,43.2
Sapphire RX 9070 Pulse,[2/25],62.7,46.7,37.4
NVIDIA RTX 4070 FE,[12/24],59.8,49.6,39.7
NVIDIA RTX 3070 Ti FE,[2/25],58.7,48.7,39.0
AMD RX 7800 XT Ref,[12/24],57.6,48.2,38.5
PNY RTX 5060 Ti 16GB,[4/25],54.1,46.4,37.1
Colorful RTX 3070 BiliBili,[12/24],52.3,44.0,35.2
EVGA RTX 3060 Ti FTW3,[12/24],48.3,40.5,32.4
Intel Arc B580 Ref,[12/24],47.2,41.8,29.7
Gigabyte RTX 5060 Eagle OC,[5/25],46.8,40.0,32.0
XFX RX 7700 XT Black,[12/24],44.8,38.1,30.5
NVIDIA RTX 4060 Ti FE,[12/24],41.2,35.1,28.1
XFX RX 6700 XT MERC Black,[12/24],40.9,34.9,27.9
Acer Arc A770 BiFrost,[12/24],40.5,34.4,24.4
Sparkle Arc A750 Titan,[12/24],36.9,30.0,21.3
ASUS RTX 4060 Dual,[12/24],36.7,30.4,24.3
EVGA RTX 2070 Super XC Ultra,[2/25],35.5,28.9,23.1
EVGA RTX 3060 XC Black,[12/24],33.1,27.4,22.0
AMD RX 7600 Ref,[12/24],31.5,27.0,21.6
PowerColor RX 6600 XT Red Devil,[12/24],29.4,25.1,20.1
EVGA RTX 2060 KO,[12/24],28.5,24.2,19.4
XFX RX 6600 CORE,[12/24],24.8,20.8,16.6
EVGA RTX 3050 XC Black,[12/24],23.1,19.3,15.4
EVGA GTX 1070 SC,[12/24],22.5,18.4,14.7
EVGA GTX 1060 SSC,[12/24],16.1,13.2,10.6
XFX RX 6500 XT Black,[12/24],14.4,12.1,9.7
EVGA GTX 1650,[12/24],11.4,9.6,7.7
