GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],289.2,238.4,195.7
NVIDIA RTX 4090 Cybertank,[4/25],234.9,199.4,164.2
NVIDIA RTX 5080 FE,[1/25],205.2,173.8,143.2
Sapphire RX 7900 XTX Nitro,[1/25],195.4,165.0,136.1
NVIDIA RTX 4080 Super FE,[1/25],186.5,158.7,131.0
NVIDIA RTX 4080 FE,[1/25],185.2,157.1,129.6
ASUS RTX 5070 Ti Prime,[2/25],179.6,156.2,128.9
Sapphire RX 9070 XT Pulse,[3/25],164.2,138.6,114.4
Sapphire RX 9070 Pulse,[2/25],161.5,133.1,109.8
PowerColor RX 7900 XT Hellhound,[1/25],161.1,136.1,112.3
ASUS RTX 4070 Ti TUF,[1/25],152.7,129.1,106.6
NVIDIA RTX 5070 FE,[2/25],148.8,123.9,102.2
Sapphire RX 6950 XT Nitro,[1/25],138.6,117.0,96.5
Sapphire RX 7900 GRE Pulse,[3/25],136.9,114.3,94.4
AMD RX 7800 XT Ref,[12/24],127.0,102.8,84.8
NVIDIA RTX 4070 FE,[12/24],121.1,99.7,82.2
EVGA RTX 3080 FTW3 Ultra,[1/25],118.7,97.7,80.6
PNY RTX 5060 Ti,[4/25],112.6,92.6,76.4
XFX RX 7700 XT Black,[12/24],106.3,86.5,71.4
Gigabyte RTX 5060 Eagle OC,[5/25],92.2,74.9,61.8
NVIDIA RTX 4060 Ti FE,[12/24],90.8,74.6,61.6
Colorful RTX 3070 BiliBili,[12/24],87.6,71.7,59.2
XFX RX 6700 XT MERC Black,[12/24],86.4,71.1,58.7
EVGA RTX 3060 Ti FTW3,[12/24],81.0,63.0,52.0
Intel Arc B580 Ref,[12/24],75.3,62.3,46.8
ASUS RTX 4060 Dual,[12/24],70.8,57.1,47.1
Acer Arc A770 BiFrost,[12/24],70.7,59.0,44.3
Sparkle Arc B570 Guardian,[1/25],65.5,53.6,40.2
AMD RX 7600 Ref,[12/24],65.2,52.9,43.7
Sparkle Arc A750 Titan,[12/24],62.0,48.5,36.4
PowerColor RX 6600 XT Red Devil,[12/24],61.6,49.6,40.9
EVGA RTX 2070,[2/25],60.0,49.3,40.7
EVGA RTX 3060 XC Black,[12/24],58.2,45.8,37.8
XFX RX 6600 CORE,[12/24],53.4,43.2,35.7
EVGA RTX 2060 KO,[12/24],34.7,28.7,23.7
