GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5060 Ti 16GB FE,[7/25],112.0,94.1,86.2
XFX RX 6700 XT MERC,[7/25],94.0,79.0,72.4
NVIDIA RTX 5060 FE,[7/25],91.0,76.4,70.0
NVIDIA RTX 4060 Ti 16GB FE,[7/25],91.0,76.6,70.2
Intel Arc A770 16GB,[7/25],85.0,69.7,58.2
Intel Arc B580 Ref,[7/25],85.0,70.2,57.8
EVGA RTX 3060 Ti FTW3,[7/25],83.0,69.7,63.9
Sparkle Arc B570 Guardian,[7/25],73.0,61.3,51.2
PowerColor RX 6600 XT Red Devil,[7/25],71.0,59.7,54.7
NVIDIA RTX 4060 FE,[7/25],69.0,58.0,53.1
NVIDIA RTX 2060 FE,[7/25],47.0,39.5,36.2
