GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],348.8,281.0,231.4
NVIDIA RTX 4090 Cybertank,[4/25],277.7,226.9,187.0
Sapphire RX 7900 XTX Nitro,[1/25],231.9,199.7,164.5
NVIDIA RTX 5080 FE,[1/25],223.9,188.6,155.6
NVIDIA RTX 4080 Super FE,[1/25],203.6,171.3,141.4
ASUS RTX 5070 Ti Prime,[2/25],198.7,167.1,137.9
Sapphire RX 9070 XT Pulse,[3/25],193.8,165.9,136.9
PowerColor RX 7900 XT Hellhound,[1/25],186.2,161.2,133.0
Sapphire RX 9070 Pulse,[2/25],171.5,146.7,121.0
Sapphire RX 6950 XT Nitro,[1/25],165.7,143.8,118.6
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],162.3,136.7,112.7
ASUS RTX 4070 Ti TUF,[1/25],160.2,134.8,111.2
Sapphire RX 7900 GRE Pulse,[3/25],155.9,134.8,111.2
NVIDIA RTX 5070 FE,[2/25],152.4,128.2,105.7
AMD RX 7800 XT Ref,[12/24],137.3,117.0,96.5
Gigabyte Aorus RTX 3090 Master,[1/25],136.7,112.0,92.4
EVGA RTX 3080 FTW3 Ultra,[1/25],126.5,104.6,86.2
NVIDIA RTX 4070 FE,[12/24],123.8,103.8,85.6
XFX RX 7700 XT Black,[12/24],118.2,102.1,84.2
PNY RTX 5060 Ti,[4/25],112.3,93.6,77.2
NVIDIA RTX 3070 Ti FE,[2/25],99.3,83.0,68.5
XFX RX 6700 XT MERC Black,[12/24],93.1,80.5,66.4
NVIDIA RTX 4060 Ti FE,[12/24],91.1,76.1,62.8
Gigabyte RTX 5060 Eagle OC,[5/25],90.6,76.6,63.2
Colorful RTX 3070 BiliBili,[12/24],90.5,79.3,65.4
Acer Arc A770 BiFrost,[12/24],85.1,71.0,52.5
Intel Arc B580 Ref,[12/24],84.8,56.4,41.9
EVGA RTX 3060 Ti FTW3,[12/24],82.3,68.4,56.4
Sparkle Arc B570 Guardian,[1/25],73.3,52.1,38.7
AMD RX 7600 Ref,[12/24],71.8,62.0,51.2
PowerColor RX 6600 XT Red Devil,[12/24],70.7,61.0,50.3
ASUS RTX 4060 Dual,[12/24],69.2,57.9,47.7
EVGA RTX 2070 Super XC Ultra,[2/25],65.2,52.9,43.6
EVGA RTX 2070,[2/25],59.2,48.8,40.2
XFX RX 6600 CORE,[12/24],58.2,49.9,41.1
EVGA RTX 3050 XC Black,[12/24],57.9,47.9,39.5
EVGA RTX 2060 KO,[12/24],46.6,38.7,31.9
